1487881543.68, 1487881543.91, 10.0.100.56
1487881544.88, 1487881544.9, 10.0.100.56
1487881545.88, 1487881545.9, 10.0.100.56
1487881546.89, 1487881546.9, 10.0.100.56
1487882477.32, 1487882477.51, 10.0.100.56
1487882478.49, 1487882478.51, 10.0.100.56
1487882479.5, 1487882479.52, 10.0.100.56
1488492864.52, 1488492864.76, 10.0.100.56
1488492865.73, 1488492865.75, 10.0.100.56
1488492866.74, 1488492866.76, 10.0.100.56
1488492867.74, 1488492867.76, 10.0.100.56
1488492868.74, 1488492868.78, 10.0.100.56
1488492869.74, 1488492869.77, 10.0.100.56
1488492870.74, 1488492870.76, 10.0.100.56
1488492871.75, 1488492871.79, 10.0.100.56
1488497064.08, 1488497064.33, 10.0.100.56
1488497065.3, 1488497065.33, 10.0.100.56
1488497066.3, 1488497066.33, 10.0.100.56
1488497067.31, 1488497067.33, 10.0.100.56
1488497068.31, 1488497068.33, 10.0.100.56
1488497101.19, 1488497101.22, 10.0.100.56
1488497102.2, 1488497102.22, 10.0.100.56
1488497103.2, 1488497103.22, 10.0.100.56
1488497187.09, 1488497187.34, 10.0.100.56
1488497191.29, 1488497191.31, 10.0.100.56
1488497192.29, 1488497192.32, 10.0.100.56
1488497193.3, 1488497193.4, 10.0.100.56
1488497199.03, 1488497199.05, 10.0.100.56
1488497200.03, 1488497200.05, 10.0.100.56
1488497201.03, 1488497201.05, 10.0.100.56
1488497202.36, 1488497202.38, 10.0.100.56
1488497203.08, 1488497203.1, 10.0.100.56
1488497204.05, 1488497204.07, 10.0.100.56
1488497204.78, 1488497204.8, 10.0.100.56
1488497205.78, 1488497205.8, 10.0.100.56
1488497206.79, 1488497206.8, 10.0.100.56
1488497223.62, 1488497223.69, 10.0.100.56
1488497224.62, 1488497224.65, 10.0.100.56
1488497225.63, 1488497225.65, 10.0.100.56
1488497226.63, 1488497226.65, 10.0.100.56
1488497227.64, 1488497227.65, 10.0.100.56
1488497228.64, 1488497228.66, 10.0.100.56
1488497863.44, 1488497863.71, 10.0.100.56
1488497864.69, 1488497864.71, 10.0.100.56
1488497865.7, 1488497865.72, 10.0.100.56
1488497866.7, 1488497866.92, 10.0.100.56
1488497867.7, 1488497867.72, 10.0.100.56
1488497883.15, 1488497883.17, 10.0.100.56
1488497884.15, 1488497884.17, 10.0.100.56
1488497885.16, 1488497885.17, 10.0.100.56
1488497886.16, 1488497886.2, 10.0.100.56
1488497887.16, 1488497887.18, 10.0.100.56
1488497888.16, 1488497888.18, 10.0.100.56
1488497889.17, 1488497889.19, 10.0.100.56
1488497890.17, 1488497890.19, 10.0.100.56
1488497891.18, 1488497891.19, 10.0.100.56
1488497892.18, 1488497892.2, 10.0.100.56
1488497893.18, 1488497893.2, 10.0.100.56
1488497894.19, 1488497894.29, 10.0.100.56
1488497895.19, 1488497895.21, 10.0.100.56
1488497897.2, 1488497897.21, 10.0.100.56
1488497898.2, 1488497898.22, 10.0.100.56
1488497899.2, 1488497899.22, 10.0.100.56
1488497900.21, 1488497900.23, 10.0.100.56
1488497901.21, 1488497901.23, 10.0.100.56
1488497902.22, 1488497902.24, 10.0.100.56
1488497903.22, 1488497903.24, 10.0.100.56
1488497904.22, 1488497904.24, 10.0.100.56
1488497905.23, 1488497905.25, 10.0.100.56
1488497906.23, 1488497906.25, 10.0.100.56
1488497907.24, 1488497907.26, 10.0.100.56
1488497908.24, 1488497908.26, 10.0.100.56
1488497909.24, 1488497909.26, 10.0.100.56
1488497910.25, 1488497910.27, 10.0.100.56
1488497911.25, 1488497911.27, 10.0.100.56
1488497912.25, 1488497912.27, 10.0.100.56
1488497913.26, 1488497913.28, 10.0.100.56
1488497914.26, 1488497914.29, 10.0.100.56
1488497915.27, 1488497915.29, 10.0.100.56
1488497916.27, 1488497916.28, 10.0.100.56
1488497917.27, 1488497917.29, 10.0.100.56
1488497918.28, 1488497918.3, 10.0.100.56
1488497919.28, 1488497919.3, 10.0.100.56
1488497920.28, 1488497920.3, 10.0.100.56
1488497921.28, 1488497921.31, 10.0.100.56
1488497921.43, 1488497921.45, 10.0.100.56
1488497922.29, 1488497922.31, 10.0.100.56
1488497922.44, 1488497922.46, 10.0.100.56
1488497923.29, 1488497923.31, 10.0.100.56
1488497923.45, 1488497923.46, 10.0.100.56
1488497924.3, 1488497924.32, 10.0.100.56
1488497925.3, 1488497925.32, 10.0.100.56
1488497926.3, 1488497926.32, 10.0.100.56
1488497927.31, 1488497927.33, 10.0.100.56
1488497928.31, 1488497928.33, 10.0.100.56
1488497929.31, 1488497929.33, 10.0.100.56
1488497930.32, 1488497930.34, 10.0.100.56
1488497931.32, 1488497931.34, 10.0.100.56
1488497932.32, 1488497932.34, 10.0.100.56
1488497933.33, 1488497933.34, 10.0.100.56
1488497934.33, 1488497934.36, 10.0.100.56
1488497935.33, 1488497935.36, 10.0.100.56
1488497936.34, 1488497936.36, 10.0.100.56
1488497937.34, 1488497937.36, 10.0.100.56
1488497938.35, 1488497938.37, 10.0.100.56
1488497939.35, 1488497939.37, 10.0.100.56
1488497940.35, 1488497940.37, 10.0.100.56
1488497941.36, 1488497941.38, 10.0.100.56
1488497942.36, 1488497942.38, 10.0.100.56
1488497943.36, 1488497943.38, 10.0.100.56
1488497944.37, 1488497944.39, 10.0.100.56
1488497945.37, 1488497945.39, 10.0.100.56
1488497946.37, 1488497946.4, 10.0.100.56
1488497947.37, 1488497947.39, 10.0.100.56
1488497948.38, 1488497948.39, 10.0.100.56
1488497949.38, 1488497949.4, 10.0.100.56
1488497950.38, 1488497950.4, 10.0.100.56
1488497951.39, 1488497951.41, 10.0.100.56
1488497952.39, 1488497952.41, 10.0.100.56
1488497953.4, 1488497953.41, 10.0.100.56
1488497954.4, 1488497954.42, 10.0.100.56
1488497955.4, 1488497955.43, 10.0.100.56
1488497956.41, 1488497956.43, 10.0.100.56
1488497957.41, 1488497957.52, 10.0.100.56
1488497958.42, 1488497958.44, 10.0.100.56
1488497959.42, 1488497959.44, 10.0.100.56
1488497960.42, 1488497960.44, 10.0.100.56
1488497961.43, 1488497961.45, 10.0.100.56
1488497962.43, 1488497962.46, 10.0.100.56
1488497963.43, 1488497963.45, 10.0.100.56
1488497964.44, 1488497964.46, 10.0.100.56
1488497965.44, 1488497965.46, 10.0.100.56
1488497966.45, 1488497966.47, 10.0.100.56
1488497967.45, 1488497967.47, 10.0.100.56
1488497968.45, 1488497968.47, 10.0.100.56
1488497969.46, 1488497969.48, 10.0.100.56
1488497970.46, 1488497970.54, 10.0.100.56
1488497971.47, 1488497971.48, 10.0.100.56
1488497972.47, 1488497972.49, 10.0.100.56
1488497973.47, 1488497973.5, 10.0.100.56
1488497974.48, 1488497974.51, 10.0.100.56
1488497975.48, 1488497975.5, 10.0.100.56
1488497976.48, 1488497976.5, 10.0.100.56
1488497977.48, 1488497977.51, 10.0.100.56
1488497978.49, 1488497978.51, 10.0.100.56
1488497979.49, 1488497979.51, 10.0.100.56
1488497980.49, 1488497980.51, 10.0.100.56
1488497981.5, 1488497981.52, 10.0.100.56
1488497982.5, 1488497982.52, 10.0.100.56
1488497983.51, 1488497983.98, 10.0.100.56
1488497984.96, 1488497984.98, 10.0.100.56
1488497985.97, 1488497985.99, 10.0.100.56
1488497986.97, 1488497986.99, 10.0.100.56
1488497987.97, 1488497987.99, 10.0.100.56
